ticker,target_date,label,sentiment_score,negative_share,positive_share,neutral_share,article_count,return,market_return,expected_return,abnormal_return,event_rows,log_article_count
VIC,2022-10-12,neutral,0.0,0.0,0.0,1.0,1,0.0,2.803697591109357,1.0326917415282348,-1.0326917415282348,1,0.6931471805599453
VIC,2022-10-13,neutral,0.0,0.0,0.0,1.0,1,0.6644542718668511,1.5514742115514746,0.44841554766496694,0.2160387242018842,1,0.6931471805599453
VIX,2022-10-20,neutral,0.0,0.0,0.0,1.0,1,-3.7919234862293725,-0.15293698579774198,-0.27737779809328017,-3.514545688136092,1,0.6931471805599453
VIX,2022-10-24,positive,1.0,0.0,1.0,0.0,1,-7.271034788708394,-3.3572947267802746,-5.881002676464257,-1.3900321122441373,1,0.6931471805599453
VND,2022-10-03,neutral,0.0,0.0,0.0,1.0,1,-7.10883975406361,-4.117685220911394,-7.043326589967074,-0.06551316409653651,1,0.6931471805599453
VND,2022-10-04,negative,-1.0,1.0,0.0,0.0,1,-5.684245094039147,-0.766896181146886,-1.4888663609900075,-4.195378733049139,1,0.6931471805599453
VND,2022-10-07,neutral,0.0,0.0,0.0,1.0,2,-7.115617223999025,-3.659378275894115,-6.283610693635575,-0.8320065303634498,2,1.0986122886681098
VND,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,2.7707400150535193,0.6322222377736505,0.8303926318320417,1.9403473832214777,1,0.6931471805599453
VND,2022-10-13,neutral,0.0,0.0,0.0,1.0,1,-0.35938942545891706,1.5514742115514746,2.3541974635192187,-2.713586888978136,1,0.6931471805599453
VND,2022-10-14,neutral,0.0,0.0,0.0,1.0,1,4.229705370012166,1.028009280448136,1.4864719497452876,2.743233420266878,1,0.6931471805599453
VND,2022-10-17,negative,-1.0,1.0,0.0,0.0,1,0.0,-0.971887485170393,-1.8286717119006508,1.8286717119006508,1,0.6931471805599453
VND,2022-10-18,neutral,0.0,0.0,0.0,1.0,2,0.6878788946804272,1.1421995926185295,1.6757603650880522,-0.987881470407625,2,1.0986122886681098
VND,2022-10-20,negative,-1.0,1.0,0.0,0.0,1,-2.790067640254401,-0.15293698579774198,-0.47113236093453087,-2.31893527931987,1,0.6931471805599453
VND,2022-10-27,neutral,0.0,0.0,0.0,1.0,1,6.255592328582097,3.4287037485669907,5.466000886615803,0.7895914419662935,1,0.6931471805599453
VND,2022-10-31,neutral,0.0,0.0,0.0,1.0,2,-1.6172859245601072,0.056439450727031965,-0.12405796270755944,-1.4932279618525477,2,1.0986122886681098
VNM,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,0.9971592595852209,0.6322222377736505,0.5506946052483854,0.44646465433683546,1,0.6931471805599453
VPB,2022-10-04,neutral,0.0,0.0,0.0,1.0,1,-1.2303641195356956,-0.766896181146886,-1.054606297588495,-0.1757578219472007,1,0.6931471805599453
VPS,2022-10-06,neutral,0.0,0.0,0.0,1.0,2,-6.062462181643474,-2.7301377138083933,-0.696603011762279,-5.365859169881195,2,1.0986122886681098
VPS,2022-10-24,positive,1.0,0.0,1.0,0.0,1,-0.43956114730379975,-3.3572947267802746,-0.8421110384649604,0.40254989116116063,1,0.6931471805599453
VPS,2022-10-28,neutral,0.0,0.0,0.0,1.0,2,0.4640379556502301,-0.0632489548518375,-0.0778525031576181,0.5418904588078481,2,1.0986122886681098
VRE,2022-10-27,neutral,0.0,0.0,0.0,1.0,1,6.762377549862331,3.4287037485669907,3.817680716972082,2.9446968328902487,1,0.6931471805599453
VVS,2022-10-10,neutral,0.0,0.0,0.0,1.0,1,12.461602896657034,0.6322222377736505,0.6322222377736505,11.829380658883384,1,0.6931471805599453
